"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt2316204","Thu Jun  8 00:00:00 2017","","","Alien: Covenant","Feature Film","Ridley Scott","9","6.8","122","2017","horror, sci_fi, thriller","78577","2017-05-04","http://www.imdb.com/title/tt2316204/"
"2","tt3896198","Thu Jun  8 00:00:00 2017","","","Guardians of the Galaxy Vol. 2","Feature Film","James Gunn","8","8.1","136","2017","action, adventure, sci_fi","159344","2017-04-19","http://www.imdb.com/title/tt3896198/"
"3","tt3315342","Thu Jun  8 00:00:00 2017","","","Logan","Feature Film","James Mangold","6","8.3","137","2017","action, drama, sci_fi, thriller","295547","2017-02-17","http://www.imdb.com/title/tt3315342/"
"4","tt1972591","Thu Jun  8 00:00:00 2017","","","King Arthur: Legend of the Sword","Feature Film","Guy Ritchie","7","7.3","126","2017","action, adventure, drama, fantasy","39196","2017-04-27","http://www.imdb.com/title/tt1972591/"
"5","tt4731136","Thu Jun  8 00:00:00 2017","","","A Cure for Wellness","Feature Film","Gore Verbinski","8","6.5","146","2016","drama, fantasy, horror, mystery, sci_fi, thriller","20634","2016-12-10","http://www.imdb.com/title/tt4731136/"
